# Snowball hungarian conformance fixture. Do not edit by hand.
#
# Regenerate with:
#   bun scripts/generate-snowball-stemmers.ts --write
#
# A deterministic sample (every 25th pair, plus the first and
# last 100) of the official reference vocabulary:
#   https://github.com/snowballstem/snowball-data @ a0ec0d0a2839ec885878868de20fcb63209d92b0
#   hungarian/voc.txt -> hungarian/output.txt
# produced by Snowball v3.1.1.
#
# Format: <word>\t<stem>, one pair per line. The reader checks the row count
# against the declaration below, so a truncated fixture fails loudly instead
# of passing a thinner vocabulary.
#
# pairs: 1387
#
# The vocabularies are derived from third-party corpora; see
# hungarian/COPYING upstream for their licence terms. The Snowball
# project itself is BSD 3-Clause (see ../base-stemmer.ts).
abazinok	abazin
abazin	abaz
abba	ab
abbahagyja	abbahagy
abbahagyni	abbahagyn
abbahagynám	abbahagyna
abbahagyom	abbahagy
abbahagyott	abbahagyot
abbahagyta	abbahagyt
abbahagytam	abbahagyt
abbahagytuk	abbahagyt
abbahagyták	abbahagyta
abbahagyása	abbahagyás
abbahagyását	abbahagyás
abbahagy	abbahagy
abbamaradni	abbamaradn
abbamaradt	abbamar
abbamarad	abbamar
abbéli	abbél
abból	ab
abban	ab
abc-be	abc-
abc	abc
abházokhoz	abház
abházok	abház
abház	abház
ablaka	abl
ablakai	abl
ablakaikkal	abl
ablakainak	abl
ablakait	abl
ablakba	abl
ablakban	abl
ablakból	abl
ablakhoz	abl
ablakkal	abl
ablaknál	abl
ablakok	ablak
ablakokat	ablak
ablakokkal	ablak
ablakokon	ablak
ablakoktól	ablak
ablakon	abl
ablakot	abl
ablakra	abl
ablakában	abl
ablakából	abl
ablakán	abl
ablakának	abl
ablakátablak	ablakátabl
ablakemelő	ablakemelő
ablakkeret	ablakker
ablakmosó	ablakmosó
ablaknyílásokkal	ablaknyílás
ablaknyílás	ablaknyílás
ablaküvegen	ablaküveg
ablaküveget	ablaküveg
ablaküveg	ablaküveg
ablakrésekhez	ablakrés
ablakrések	ablakrés
ablakrés	ablakrés
ablaktalan	ablaktal
ablaktáblán	ablaktábl
ablaktábla	ablaktábl
ablakos	ablakos
ablakpárkánynak	ablakpárkány
ablakpárkányon	ablakpárkány
ablakpárkány	ablakpárkány
abnormális	abnormális
abortuszon	abortusz
abortusz	abortusz
abroncsok	abroncs
abroncs	abroncs
abrosszal	abrosz
abrosz	abrosz
abszolutisztikus	abszolutisztikus
abszolutizmus	abszolutizmus
abszolváltam	abszolvált
abszolvál	abszolvál
abszolúciót	abszolúció
abszolúció	abszolúció
abszolúte	abszolút
abszolút	abszolú
absztrakció	absztrakció
absztrakt	absztr
abszurd	abszur
abszurditásán	abszurditás
abszurditás	abszurditás
abszurdum	abszurdu
accountokról	account
accountok	account
account	accoun
acetilszalicilsav	acetilszalicilsav
achátból	achát
achát	ach
