id	jurisdiction	full_name	short_name	in_use	start_date	end_date	parent_court_id
acca	MA	Army Court of Criminal Appeals	Army Court of Criminal Appeals	t			
admiraltyctsc	SS	South Carolina Admiralty Court	South Carolina Admiralty Court	f			
afcca	MA	United States Air Force Court of Criminal Appeals	Air Force Court of Criminal Appeals	t			
ag	FS	United States Attorneys General	Attorneys General	f			
akb	FB	United States Bankruptcy Court, D. Alaska	D. Alaska	t			
akd	FD	District Court, D. Alaska	D. Alaska	t			usdistct
ala	S	Supreme Court of Alabama	Supreme Court of Alabama	t	1819-01-01		
alacivapp	SA	Court of Civil Appeals of Alabama	Court of Civil Appeals of Alabama	t	1969-01-01		
alacrimapp	SA	Court of Criminal Appeals of Alabama	Court of Criminal Appeals of Alabama	t	1969-01-01		
alactapp	SA	Alabama Court of Appeals	Alabama Court of Appeals	t	1911-01-01	1969-01-01	
alaska	S	Alaska Supreme Court	Alaska Supreme Court	t	1959-01-03		
alaskactapp	SA	Court of Appeals of Alaska	Court of Appeals of Alaska	t	1980-07-01		
ald	FD	District Court, D. Alabama	D. Alabama	f	1820-04-21	1824-03-10	usdistct
almb	FB	United States Bankruptcy Court, M.D. Alabama	M.D. Alabama	t			
almd	FD	District Court, M.D. Alabama	M.D. Alabama	t			usdistct
alnb	FB	United States Bankruptcy Court, N.D. Alabama	N.D. Alabama	t			
alnd	FD	District Court, N.D. Alabama	N.D. Alabama	t			usdistct
alsb	FB	United States Bankruptcy Court, S.D. Alabama	S.D. Alabama	t			
alsd	FD	District Court, S.D. Alabama	S.D. Alabama	t			usdistct
amsamoa	TS	High Court of American Samoa	High Court of American Samoa	t			
amsamoatc	TT	American Samoa District Court	American Samoa District Court	t			
arb	FB	United States Bankruptcy Court, D. Arizona	D. Arizona	t			
ard	FD	United States District Court for the District of Arkansas	United States District Court for the District of Arkansas	f	1836-06-15	1851-03-03	usdistct
areb	FB	United States Bankruptcy Court, E.D. Arkansas	E.D. Arkansas	t			
ared	FD	District Court, E.D. Arkansas	E.D. Arkansas	t			usdistct
ariz	S	Arizona Supreme Court	Arizona Supreme Court	t	1912-01-01		
arizctapp	SA	Court of Appeals of Arizona	Court of Appeals of Arizona	t	1965-01-01		
arizsuper	ST	Arizona Superior Court	Arizona Superior Court	f			
ariztaxct	SS	Arizona Tax Court	Arizona Tax Court	t			
ark	S	Supreme Court of Arkansas	Supreme Court of Arkansas	t	1841-01-01		
arkag	SAG	Arkansas Attorney General Reports	Arkansas Attorney General Reports	t			
arkctapp	SA	Court of Appeals of Arkansas	Court of Appeals of Arkansas	t	1979-08-08		
arkworkcompcom	SS	Arkansas Workers' Compensation Commission	Arkansas Workers' Compensation Commission	t			
armfor	MA	Court of Appeals for the Armed Forces	Court of Appeals for the Armed Forces	t	1951-05-31		
arwb	FB	United States Bankruptcy Court, W.D. Arkansas	W.D. Arkansas	t			
arwd	FD	District Court, W.D. Arkansas	W.D. Arkansas	t			usdistct
asbca	FS	Armed Services Board of Contract Appeals	Armed Services Board of Contract Appeals	t			
azd	FD	District Court, D. Arizona	D. Arizona	t			usdistct
bap1	FBP	Bankruptcy Appellate Panel of the First Circuit	First Circuit	t			
bap10	FBP	Bankruptcy Appellate Panel of the Tenth Circuit	Tenth Circuit	t			
bap2	FBP	Bankruptcy Appellate Panel of the Second Circuit	Second Circuit	t			
bap6	FBP	Bankruptcy Appellate Panel of the Sixth Circuit	Sixth Circuit	t			
bap8	FBP	United States Bankruptcy Appellate Panel for the Eighth Circuit	Eighth Circuit	t			
bap9	FBP	United States Bankruptcy Appellate Panel for the Ninth Circuit	Ninth Circuit	t			
bapma	FBP	Bankruptcy Appellate Panel of Massachusetts	Massachusetts	t			
bapme	FBP	Bankruptcy Appellate Panel, D. Maine	D. Maine	t			
bia	FS	Board of Immigration Appeals	Board of Immigration Appeals	t			
bpai	FS	Board of Patent Appeals and Interferences	Board of Patent Appeals and Interferences	f		2012-09-15	
bta	FS	United States Board of Tax Appeals	Board of Tax Appeals	t	1924-01-01	1942-12-31	
bva	FS	Board of Veterans' Appeals	Board of Veterans' Appeals	t			
ca1	F	Court of Appeals for the First Circuit	First Circuit	t	1891-03-03		
ca10	F	Court of Appeals for the Tenth Circuit	Tenth Circuit	t	1929-02-28		
ca11	F	Court of Appeals for the Eleventh Circuit	Eleventh Circuit	t	1980-10-14		
ca2	F	Court of Appeals for the Second Circuit	Second Circuit	t	1891-03-03		
ca3	F	Court of Appeals for the Third Circuit	Third Circuit	t	1891-03-03		
ca4	F	Court of Appeals for the Fourth Circuit	Fourth Circuit	t	1891-03-03		
ca5	F	Court of Appeals for the Fifth Circuit	Fifth Circuit	t	1891-03-03		
ca6	F	Court of Appeals for the Sixth Circuit	Sixth Circuit	t	1891-03-03		
ca7	F	Court of Appeals for the Seventh Circuit	Seventh Circuit	t	1891-03-03		
ca8	F	Court of Appeals for the Eighth Circuit	Eighth Circuit	t	1891-03-03		
ca9	F	Court of Appeals for the Ninth Circuit	Ninth Circuit	t	1891-03-03		
caca	F	Circuit Court for California	California Circuit	f	1804-10-01	1812-04-30	uscirct
cacb	FB	United States Bankruptcy Court, C.D. California	C.D. California	t			
cacd	FD	District Court, C.D. California	C.D. California	t			usdistct
cadc	F	Court of Appeals for the D.C. Circuit	D.C. Circuit	t	1893-02-09		
