id	location
acca	Washington D.C.
admiraltyctsc	South Carolina
afcca	Washington D.C.
akb	Alaska
akd	Alaska
akdistct	Alaska
aksuperct	Alaska
ala	Alabama
alacirct	Alabama
alacivapp	Alabama
alacrimapp	Alabama
alactapp	Alabama
aladistct	Alabama
alajudct	Alabama
alajuvct	Alabama
alamunict	Alabama
alaproct	Alabama
alascct	Alabama
alaska	Alaska
alaskactapp	Alaska
ald	Alabama
almb	Alabama
almd	Alabama
alnb	Alabama
alnd	Alabama
alsb	Alabama
alsd	Alabama
amsamoa	American Samoa
amsamoatc	American Samoa
arb	Arizona
ard	Arkansas
areb	Arkansas
ared	Arkansas
ariz	Arizona
arizctapp	Arizona
ariztaxct	Arizona
ark	Arkansas
arkag	Arkansas
arkcirct	Arkansas
arkcityct	Arkansas
arkctapp	Arkansas
arkdistct	Arkansas
arkworkcompcom	Arkansas
armfor	Washington D.C.
arwb	Arkansas
arwd	Arkansas
atrc	Washington D.C.
azd	Arizona
azjustct	Arizona
azsuperct	Arizona
bap1	Massachusetts
bap10	Colorado
bap2	New York
bap6	Ohio
bap8	Missouri
bap9	California
bia	Washington D.C.
bpai	Washington D.C.
bta	Washington D.C.
ca1	Massachusetts
ca10	Colorado
ca11	Georgia
ca2	New York
ca3	Pennsylvania
ca4	Virginia
ca5	Louisiana
ca6	Tennessee
ca7	Illinois
ca8	Missouri
ca9	California
cacb	California
cacd	California
cadc	Washington D.C.
caeb	California
caed	California
cafc	Washington D.C.
cal	California
calag	California
calappdeptsuper	California
calctapp	California
calctapp1d	California
calctapp2d	California
calctapp3d	California
calctapp4d	California
calctapp5d	California
calctapp6d	California
caldistct	California
californiad	California
caljp	California
calsuperct	California
calsuppctla	California
calsuppctsf	California
canalzoned	Panama
canb	California
cand	California
casb	California
casd	California
cavc	Washington D.C.
cc	Washington D.C.
ccpa	Washington D.C.
cgcomilrev	Washington D.C.
chehctapp	Washington
cherokee	Oklahoma
cherokeeapp	Oklahoma
cherokeetribct	Oklahoma
cheyrsiouxctapp	South Dakota
chitctapp	Louisiana
circtcapefearnc	North Carolina
circtdal	Alabama
circtdalb	North Carolina
circtdalbanyny	New York
circtdar	Arkansas
circtdca	California
circtdco	Colorado
circtdct	Connecticut
circtddc	Washington D.C.
circtdedenton	North Carolina
circtdel	Delaware
